ID,Name,Surname,Gender,Birthday,FieldOfStudy,StartDate,Graduated,GraduationDate,GPA
A1,Irida,Hoxha,F,23.04.2003,PROGRAMMING,15.10.2021,true,27.06.2024,0
A2,Elion,Beqiri,F,07.05.2012,STATISTICS,05.10.2019,true,04.10.2023,9.08
A3,Elion,Hoxha,M,29.04.2009,MATHEMATICS,20.09.2022,true,19.09.2026,9.23
A4,Orges,Toska,M,23.03.2012,MATHEMATICS,10.09.2020,true,09.09.2024,7.18
A5,Zamir,Doda,F,24.03.2001,STATISTICS,05.10.2019,true,04.10.2023,9.85
A6,Jetmir,Peci,M,15.08.2008,ENGINEERING,20.09.2022,false,01.01.1900,7.95
A7,Leonard,Kelmendi,M,30.12.2011,ECONOMICS,10.09.2020,true,09.09.2024,8.47
A8,Saimir,Zeqiri,M,10.01.2007,PROGRAMMING,15.10.2021,false,01.01.1900,8.96
A9,Genti,Nika,F,08.11.2005,ENGINEERING,05.10.2019,true,04.10.2023,9.15
A10,Kristian,Cani,M,28.04.2003,PROGRAMMING,10.09.2020,true,09.09.2024,8.75
A11,Xhoni,Doda,M,23.07.2012,ECONOMICS,15.10.2021,false,01.01.1900,8.54
